整租 | 汉江世纪星城 1室1厅1卫,"汉江世纪星城...
距离4号线王家湾地铁站4",1550,http://short.58.com/zd_p/c8ae7773-aeb6-4ae1-819a-560eed59150b/?target=ze-16-xgk_hvimob_88903766159358q-feykn&end=end
单间 | 江岸后湖跃进家园C区 2室1厅 主卧 朝南北 精装修,跃进家园C区,2000,http://short.58.com/zd_p/333bff07-3d11-476c-b941-aaadacf69838/?target=ze-16-xgk_ephv_88903346989742q-feykn&end=end
单间 | 房东直租大飘窗独立卫生间单间采光好配置齐全包网包物业,曙光星城A区,1000,http://short.58.com/zd_p/84e4aede-b692-48c4-a781-2401c14339a4/?target=ze-16-xgk_ephv_88521555689324q-feykn&end=end
整租 | 时尚欧洲 1室0厅1卫,时尚欧洲,1199,http://short.58.com/zd_p/8fe2e4db-320c-4028-8b4d-00eaff2f1e9a/?target=ze-16-xgk_hvimob_88909708976943q-feykn&end=end
单间 | 文豪苑酒店式 1室0厅 主卧 朝南北 精装修,文豪苑酒店式公寓精装修独,1000,http://short.58.com/zd_p/6743f712-1fe8-4dfe-af58-56afd487a7f1/?target=ze-16-xgk_ephv_31859473116301q-feykn&end=end
整租 | 东原时光道(商住楼) 1室1厅1卫,东原时光道(商住楼),2000,http://short.58.com/zd_p/9ec294ec-2554-4817-98e4-ff1aa08c3f57/?target=ze-16-xgk_hvimob_88182559625754q-feykn&end=end
单间 | 洪山新南湖芷岸龙庭 湖景单间 独卫 阳台,芷岸龙庭,1200,http://short.58.com/zd_p/9fa0acf5-7d61-4756-8236-3a1fccee71d9/?target=ze-16-xgk_ephv_88999690737298q-feykn&end=end
单间 | 8号线徐东地铁口 无中介费 可月付,新长江滨江花园,1030,http://short.58.com/zd_p/2c55e03c-1ed8-4ff6-bcab-b746093a63da/?target=ze-16-xgk_ephv_88908155555409q-feykn&end=end
单间 | 1号线二七路轻轨口 直达武汉天地循礼门江汉路 超大单,东立国际,1100,http://short.58.com/zd_p/0b85d1f6-24b7-4476-86f8-12bc385e8f81/?target=ze-16-xgk_ephv_83678211054746q-feykn&end=end
整租 | 星添元商务宾馆 1室0厅1卫,星添元商务宾馆,1300,http://short.58.com/zd_p/fcccd34a-3b7c-49f4-8c3a-22f9ec250d98/?target=ze-16-xgk_hvimob_87041435132690q-feykn&end=end
单间 | 洪山街道口狮城公寓(书城路) 独卫 独立阳台 精装修,狮城公寓(书城路),1100,http://short.58.com/zd_p/7c554a13-c788-460f-bf2e-65c98c03cd6c/?target=ze-16-xgk_ephv_88908044082473q-feykn&end=end
单间 | 洪山关山现代森林花园 1室1厨1卫1阳台朝南 全独立,现代森林花园,1500,http://short.58.com/zd_p/32e11ed4-3ba6-451a-a6a4-3b50e8a93e29/?target=ze-16-xgk_ephv_88972988695240q-feykn&end=end
单间 | 当代光谷智慧城 1室1卫 1200元 男女不限,当代光谷智慧城,1200,http://short.58.com/zd_p/1bfd0c73-ed61-486c-8eab-9657b357aa1d/?target=ze-16-xgk_ephv_88913357339367q-feykn&end=end
整租 | 宝安春天里 2室2厅1卫,宝安春天里,2200,http://short.58.com/zd_p/040670d5-32a0-4942-8e03-4701239f8a95/?target=ze-16-xgk_hvimob_88553518941452q-feykn&end=end
单间 | 徐东馨苑 3室2厅2卫 房东直租,徐东馨苑,1100,http://short.58.com/zd_p/bc5984a7-c1ad-4c96-ae18-0c3939d26cda/?target=ze-16-xgk_ephv_88932899299299q-feykn&end=end
整租 | 人信汉商银座D座 1室1厅1卫,人信汉商银座D座,2000,http://short.58.com/zd_p/88d68838-6358-49a2-a3da-049a9ca0d30d/?target=ze-16-xgk_hvimob_70271066559858q-feykn&end=end
单间 | 西马名仕直租精装修单间1100包网费和物业出租,西马名仕,1100,http://short.58.com/zd_p/e5a1ee25-d36f-40c5-8393-168fb3123452/?target=ze-16-xgk_ephv_88907535697972q-feykn&end=end
整租 | 城开汉口秀园 2室2厅1卫,"城开汉口秀园...
距离6号线杨汊湖地铁站2",2300,http://short.58.com/zd_p/7993c3e4-91b9-41bf-b4fc-f36a94b2fd1e/?target=ze-16-xgk_hvimob_88903484507089q-feykn&end=end
